Month,Revenue,ActiveUsers,CAC,ChurnRate,CustomerGrowthRate,LTV
Jan-2024,138627,1571,2464,5.725538233788843,11.676450319484452,1541.1869419059353
Feb-2024,81059,1077,4248,5.63050690831545,5.252090725467057,1336.7126028949774
Mar-2024,101497,2640,2941,2.1711578036584083,10.997232962641952,1770.7526034520372
Apr-2024,97664,2905,4448,3.20636484325273,5.5949230176421345,1048.5168953614248
May-2024,119248,1781,4851,2.9926278593555993,9.602382855305823,2237.3527897206122
Jun-2024,133751,2003,1699,5.29686465047129,5.338767197888302,1260.6577928806785
Jul-2024,96755,2357,1831,3.320304100738499,14.553810537663988,1236.334455964148
Aug-2024,124130,2535,4683,5.928246064249532,13.831964720084148,825.98577888495
Sep-2024,100343,1515,3015,5.640362035547687,10.019076347426093,1174.2686530209355
Oct-2024,124333,1976,3823,5.27858938830467,14.274183812365429,1192.014647774337
Nov-2024,104236,1103,2387,4.367214858456512,11.518249314707235,2163.9023865014005
Dec-2024,87736,1599,3759,2.098886312500173,11.464304434897779,2614.2098779498892
